"Job Title","Department","2015 Earnings"
"MAINTENANCE TECH - BUILDING","OPERATION SERVICES","$52,637.11"
"REVENUE AND PROJECT MANAGER","SALES TAX","$52,608.39"
"BUILDING INSPECTOR-Inactive","COMM DEV & NEIGHBORHOOD SVCS","$52,602.71"
"ADMINISTRATIVE SUPPORT SUPV","STREETS","$52,595.71"
"WATER UTILITY MAINT OPERATOR","UT COLLECTION SYSTEM DIV","$52,558.62"
"ENERGY SERVICES PROGRAM COORD","UTILITIES CUSTOMER CONNECTIONS","$52,501.06"
"EMERGENCY SERVICES DISPATCHER","POLICE INFORMATION SERVICES","$52,450.01"
"ROAD SUPERVISOR","TRANSFORT / DIAL-A-RIDE","$52,416.96"
"WATER UTILITY MAINT OPERATOR","UT DRAINAGE SYSTEM DIV","$52,416.36"
"WATER UTILITY MAINT OPERATOR","UT COLLECTION SYSTEM DIV","$52,414.76"
"VIDEO PRODUCER","COMM. & PUBLIC INVOLVEMENT","$52,393.78"
"NATURAL AREAS TECHNICIAN","NATURAL AREAS","$52,251.22"
"PARKING FACILITIES SUPERVISOR","PARKING","$52,248.81"
"GIS MAPPING SPECIALIST","UT ELECTRIC SYSTEMS ENG DIV","$52,204.16"
"BUS OPERATOR","TRANSFORT / DIAL-A-RIDE","$52,133.62"
"SALES TAX AUDITOR","SALES TAX","$52,027.00"
"LINE CREW CHIEF","ELECTRIC FIELD SERVICES","$51,976.01"
"TRANSIT SERVICES OFFICER","TRANSFORT / DIAL-A-RIDE","$51,957.21"
"BUS OPERATOR","TRANSFORT / DIAL-A-RIDE","$51,881.87"
"RECREATION COORDINATOR","RECREATION","$51,840.58"
"ADMINISTRATIVE ASSISTANT","POLICE INFORMATION SERVICES","$51,748.83"
"MAINTENANCE SPECIALIST","UT WTR RECLAMA & BIOSOLIDS DIV","$51,647.83"
"PUBLIC RELATIONS COORDINATOR","COMM. & PUBLIC INVOLVEMENT","$51,572.95"
"POLICE OFFICER","PATROL","$51,499.84"
"PARKS/GROUNDS TECH","PARKS","$51,497.03"
"TRANSIT SERVICES OFFICER","TRANSFORT / DIAL-A-RIDE","$51,476.07"
"WATER CONSERVATION COORDINATOR","UTILITIES CUSTOMER CONNECTIONS","$51,470.80"
"BOX OFFICE COORDINATOR","CULTURAL SERVICES","$51,344.18"
"RECREATION COORDINATOR","RECREATION","$51,316.72"
"TECHNICAL SVCS SUPV-WASTEWATER","UT WTR RECLAMA & BIOSOLIDS DIV","$51,243.00"
"EXECUTIVE ADMIN ASST-Inactive","CITY MANAGER'S OFFICE","$51,222.50"
"CURATOR","CULTURAL SERVICES","$51,220.16"
"PUBLICITY MARKETING SPECIALIST","COMM. & PUBLIC INVOLVEMENT","$51,198.38"
"ENVIRONMENTAL DATA ANALYST","ENVIRONMENTAL SERVICES","$51,197.93"
"COMMUNITY SERVICE OFFICER","PATROL","$51,184.83"
"FORSTRY CREW LEADR-LARGE TREES","PARKS","$51,111.56"
"PLANT OPERATOR","UT WTR RECLAMA & BIOSOLIDS DIV","$51,090.85"
"BUS OPERATOR","TRANSFORT / DIAL-A-RIDE","$51,062.48"
"BENEFITS SPECIALIST","HUMAN RESOURCES","$51,056.23"
"PARKS/GROUNDS TECH","PARKS","$50,990.99"
"STREETS EQUIPMENT OPERATOR I","STREETS","$50,975.98"
"EDUCATION SPECIALIST","UTILITIES CUSTOMER CONNECTIONS","$50,921.22"
"WATER UTILITY MAINT OPERATOR","UT DRAINAGE SYSTEM DIV","$50,887.16"
"RESTORATIVE JUSTICE PROG COORD","COMM DEV & NEIGHBORHOOD SVCS","$50,882.38"
"ADMINISTRATIVE ASSISTANT","COMM DEV & NEIGHBORHOOD SVCS","$50,873.84"
"ASSOCIATE PLANNER","COMM DEV & NEIGHBORHOOD SVCS","$50,762.28"
"WATER METER SYSTEMS OPERATOR","UT WATER METERS DIV","$50,662.89"
"ADMINISTRATIVE ASSISTANT","UT WTR RECLAMA & BIOSOLIDS DIV","$50,661.07"
"UTIL HLTH SAFTY & SECURTY MGR","SAFETY AND SECURITY","$50,560.88"
"WATER CONSERVATION MGR","UTILITIES CUSTOMER CONNECTIONS","$50,549.97"
"BUS OPERATOR","TRANSFORT / DIAL-A-RIDE","$50,508.31"
"ENVIRONMENTAL REG AFFAIRS MGR","UT ENVIRO REGULATORY AFFAIRS","$50,494.00"
"WATER UTILITY MAINT OPERATOR","UT COLLECTION SYSTEM DIV","$50,480.65"
"SR ENVIRONMENTAL PLANNER","ENVIRONMENTAL SERVICES","$50,477.28"
"LIBRARIAN","LIBRARY DISTRICT","$50,458.40"
"WATER UTILITY MAINT OPERATOR","UT COLLECTION SYSTEM DIV","$50,433.28"
"PARALEGAL","CITY ATTORNEY'S OFFICE","$50,419.32"
"PARKS/GROUNDS TECH","PARKS","$50,360.79"
"WATER TRTMNT PLANT SUPERINTNDT","UT WATER PRODUCTION DIV","$50,335.59"
"BUS OPERATOR","TRANSFORT / DIAL-A-RIDE","$50,266.52"
"ENVIRONMENTAL PLANNER","NATURAL AREAS","$50,136.72"
"PARALEGAL","CITY ATTORNEY'S OFFICE","$50,133.00"
"SCHEDULING SUPERVISOR","CULTURAL SERVICES","$50,122.47"
"BUS OPERATOR","TRANSFORT / DIAL-A-RIDE","$50,105.66"
"INTERLIBRARY LOAN COORDINATOR","LIBRARY DISTRICT","$50,082.27"
"WATER METER SYSTEMS OPERATOR","UT WATER METERS DIV","$50,077.93"
"STREETS EQUIPMENT OPERATOR I","STREETS","$50,077.51"
"BUS OPERATOR","TRANSFORT / DIAL-A-RIDE","$50,011.29"
"ELECTRIC LINEWORKER","ELECTRIC FIELD SERVICES","$49,937.56"
"ELEC INSTRUMENT & CONTROL SPEC","UT WTR RECLAMA & BIOSOLIDS DIV","$49,929.33"
"BUS OPERATOR","TRANSFORT / DIAL-A-RIDE","$49,817.19"
"ADMINISTRATIVE ASSISTANT","UT WATER PRODUCTION DIV","$49,807.45"
"PARKS/GROUNDS TECH","PARKS","$49,802.70"
"TRAFFIC SYSTEMS ENGINEER","TRAFFIC","$49,794.54"
"STREETS EQUIPMENT OPERATOR I","STREETS","$49,779.92"
"ADMINISTRATIVE ASSISTANT","UT WATER SYSTEMS ENGR DIV","$49,752.45"
"HORTICULTURE TECHNICIAN","CULTURAL SERVICES","$49,729.53"
"PARKS/GROUNDS TECH","PARKS","$49,694.72"
"BUS OPERATOR","TRANSFORT / DIAL-A-RIDE","$49,524.36"
"BUS OPERATOR","TRANSFORT / DIAL-A-RIDE","$49,502.34"
"BUS OPERATOR","TRANSFORT / DIAL-A-RIDE","$49,392.30"
"BUS OPERATOR","TRANSFORT / DIAL-A-RIDE","$49,369.78"
"LIBRARIAN","LIBRARY DISTRICT","$49,357.36"
"PARKS/GROUNDS TECH","PARKS","$49,324.75"
"LAND SURVEY TECHNICIAN","ENGINEERING","$49,256.21"
"ADMINISTRATIVE MANAGER/DDA","DOWNTOWN DEVELOPMENT AUTHORITY","$49,145.66"
"GIS MAPPING SPECIALIST","UT WTR RECLAMA & BIOSOLIDS DIV","$49,130.00"
"PARKS/GROUNDS TECH","PARKS","$49,109.27"
"LINE GROUNDWORKER","ELECTRIC FIELD SERVICES","$49,012.06"
"MAINT TECH-HVAC-Inactive","OPERATION SERVICES","$49,008.49"
"TRANSFORT CUST SERVICE SUPV","TRANSFORT / DIAL-A-RIDE","$48,996.44"
"PARKS/GROUNDS TECH","PARKS","$48,937.80"
"PARKS/GROUNDS TECH","PARKS","$48,925.80"
"EMERGENCY SERVICES DISPATCHER","POLICE INFORMATION SERVICES","$48,875.56"
"CIVIL ENGINEER III","UT WATER UTILITIES ENGINEERING","$48,850.11"
"BENEFITS SPECIALIST","HUMAN RESOURCES","$48,563.19"
"TRANSIT SERVICES OFFICER","TRANSFORT / DIAL-A-RIDE","$48,433.14"
"AQUATICS MAINTENANCE TECH","OPERATION SERVICES","$48,413.26"
"UTILITY BILLING REPRESENTATIVE","UTILITIES CUSTOMER CONNECTIONS","$48,379.46"
"COMM OUTREACH GARDEN COORD","CULTURAL SERVICES","$48,360.63"
"WATER UTILITY MAINT OPERATOR","UT COLLECTION SYSTEM DIV","$48,353.79"
"ADMINISTRATIVE ASSISTANT","PATROL","$48,321.18"
"ACCOUNTS PAYABLE REP","UTILITY FINANCIAL OPERATIONS","$48,277.30"
"PUBLICITY MARKETING SPECIALIST","RECREATION","$48,261.00"
"TRAINING CAPTAIN - 40 HR/WK","POUDRE FIRE AUTHORITY","$48,199.68"
"ENERGY SERVICES PROGRAM COORD","UTILITIES CUSTOMER CONNECTIONS","$48,193.26"
"DISPATCH/SCHEDULER","TRANSFORT / DIAL-A-RIDE","$48,161.23"
"ELECTRIC LINEWORKER","ELECTRIC FIELD SERVICES","$48,132.60"
"SALES TAX TECHNICIAN","SALES TAX","$48,073.08"
"FACILITY MAINTENANCE TECH","RECREATION","$48,040.78"
"BUS OPERATOR","TRANSFORT / DIAL-A-RIDE","$48,006.19"
"PARKS/GROUNDS TECH","PARKS","$47,972.66"
"ELECTRIC UTILITY PROJECT MGR","UT ELECTRIC SYSTEMS ENG DIV","$47,954.73"
"DISPATCH/SCHEDULER","TRANSFORT / DIAL-A-RIDE","$47,848.85"
"TECHNICAL SVCS SUPV-WTR TRTMNT","UT WATER PRODUCTION DIV","$47,805.45"
"GRAPHICS SPECIALIST-Inactive","COMM. & PUBLIC INVOLVEMENT","$47,746.99"
"CUSTOMER SERVICE REP II","PARKING","$47,689.32"
"ADMINISTRATIVE ASSISTANT","L&P OPERATIONS SERVICE UNIT","$47,606.08"
"POLICE REPORT SPECIALIST","POLICE INFORMATION SERVICES","$47,593.96"
"PARKS/GROUNDS TECH","PARKS","$47,583.74"
"SERVICE PLANNER-Inactive","TRANSFORT / DIAL-A-RIDE","$47,544.25"
"ADMIN TECH SUPPORT SPECIALIST","OPERATION SERVICES","$47,498.33"
"SR BUYER-Inactive","PURCHASING","$47,441.04"
"RECREATION COORDINATOR","RECREATION","$47,402.46"
"ASST HUMAN RESOURCES DIRECTOR","HUMAN RESOURCES","$47,398.01"
"HVAC LEAD-Inactive","OPERATION SERVICES","$47,385.50"
"SR BUDGET ANALYST","BUDGET","$47,375.25"
"ADMINISTRATIVE ASSISTANT","COMM DEV & NEIGHBORHOOD SVCS","$47,296.07"
"NATURAL AREAS TECHNICIAN","NATURAL AREAS","$47,288.05"
"PUBLICITY/MARKETING TECH","UTILITIES CUSTOMER CONNECTIONS","$47,268.47"
"ADMINISTRATIVE ASSISTANT","FC MOVES","$47,217.50"
"ADMINISTRATIVE ASSISTANT","INFORMATION TECHNOLOGY","$47,181.55"
"ADMINISTRATIVE ASSISTANT","ENGINEERING","$47,171.71"
"ACCOUNTS PAYABLE REP","UTILITY FINANCIAL OPERATIONS","$47,154.74"
"STREETS EQUIPMENT OPERATOR I","STREETS","$47,116.04"
"FIREFIGHTER INTRO - 56 HR/WK","POUDRE FIRE AUTHORITY","$47,112.59"
"POLICE OFFICER","PATROL","$47,103.72"
"ELECTRICAL ENGINEER I","UT STANDARDS ENGINEERING DIV","$47,095.92"
"PC HARDWR/SOFTWRE SPECIALIST","INFORMATION TECHNOLOGY","$47,073.39"
"CUSTOMER SERVICE REP II","UTILITIES CUSTOMER CONNECTIONS","$47,022.57"
"ENERGY SERVICES PROGRAM COORD","UTILITIES CUSTOMER CONNECTIONS","$46,989.16"
"FORESTRY SPECIALIST","PARKS","$46,963.40"
"CIRCULATION SUPV - LIBRARY","LIBRARY DISTRICT","$46,950.91"
"STREETS EQUIPMENT OPERATOR I","STREETS","$46,917.92"
"CUSTOMER SERVICE REP II","PARKING","$46,913.08"
"POLICE REPORT SPECIALIST","POLICE INFORMATION SERVICES","$46,902.82"
"LIBRARY ASSISTANT","LIBRARY DISTRICT","$46,860.00"
"WATER UTILITY MAINT OPERATOR","UT COLLECTION SYSTEM DIV","$46,739.80"
"PARKS/GROUNDS TECH","PARKS","$46,709.17"
"ADMINISTRATIVE ASSISTANT","POUDRE FIRE AUTHORITY","$46,691.90"
"CUSTOMER SERVICE REP II","UTILITIES CUSTOMER CONNECTIONS","$46,672.90"
"CURATOR","CULTURAL SERVICES","$46,588.28"
"ENVIRONMENTAL REGULATORY SPEC","UT ENVIRO REGULATORY AFFAIRS","$46,551.68"
"PARKS/GROUNDS TECH","PARKS","$46,523.49"
"LIBRARY ASSISTANT","LIBRARY DISTRICT","$46,521.79"
"EMERGENCY SERVICES DISPATCHER","POLICE INFORMATION SERVICES","$46,352.03"
"PERF EXCELNCE PROG MGR-Inactiv","CITY MANAGER'S OFFICE","$46,307.56"
"COUNCIL AGENDA COORDINATOR","CITY CLERK'S OFFICE","$46,280.68"
"TRAFFIC EQUIPMENT OPERATOR I","TRAFFIC","$46,279.24"
"POLICE OFFICER","PATROL","$46,278.20"
"ASSISTANT TECHNICAL COORD","CULTURAL SERVICES","$46,269.05"
"WATER UTILITY MAINT OPERATOR","UT DISTRIBUTION SYSTEM DIV","$46,187.60"
"RISK MANAGEMENT TECHNICIAN","SAFETY, SECURITY, & RISK MGMT.","$46,156.52"
"STREETS EQUIPMENT OPERATOR I","STREETS","$46,057.27"
"EXECUTIVE ADMIN ASST-Inactive","SUSTAINABILITY SERVICES ADMIN","$46,053.47"
"POLICE REPORT SPECIALIST","POLICE INFORMATION SERVICES","$46,002.82"
"ADMINISTRATIVE SECRETARY II","POUDRE FIRE AUTHORITY","$45,948.05"
"PLANNING TECH","COMM DEV & NEIGHBORHOOD SVCS","$45,885.78"
"FINANCIAL TECHNICIAN","STREETS","$45,881.87"
"ACCOUNTS PAYABLE REP","ACCOUNTING AND TREASURY","$45,863.51"
"RECREATION SERVICES REP","RECREATION","$45,832.41"
"RECORDS MANAGEMENT COORDINATOR","UTILITIES MANAGEMENT","$45,747.11"
"WATER RESOURCES ENGINEER","UT WATER RESOURCES DIV","$45,714.31"
"TRAFFIC EQUIPMENT OPERATOR I","TRAFFIC","$45,698.11"
"PRODUCTION ASSISTANT","COMM. & PUBLIC INVOLVEMENT","$45,632.30"
"TRAFFIC EQUIPMENT OPERATOR I","TRAFFIC","$45,561.82"
"WATER UTILITY MAINT OPERATOR","UT COLLECTION SYSTEM DIV","$45,512.25"
"CREDIT/COLLECTIONS REP","UTILITIES CUSTOMER CONNECTIONS","$45,504.68"
"LEAD CUSTOMER SERVICE REP","UTILITIES CUSTOMER CONNECTIONS","$45,424.90"
"PARKS/GROUNDS TECH","PARKS","$45,371.54"
"LAND SURVEY TECHNICIAN","ENGINEERING","$45,326.44"
"ELECTRIC LINEWORKER","ELECTRIC FIELD SERVICES","$45,314.87"
"ACCOUNTS PAYABLE REP","ACCOUNTING AND TREASURY","$45,201.39"
"UTILITY CASHIER","UTILITIES CUSTOMER CONNECTIONS","$45,129.08"
"UTIL HLTH SFTY & SEC MGR-Inact","SAFETY AND SECURITY","$45,111.51"
"PARKS SUPERVISOR","PARKS","$45,032.44"
"FORSTRY CREW LEADR-SM&MED TREE","PARKS","$44,940.85"
"DEPUTY COURT CLERK II","MUNICIPAL COURT","$44,838.19"
"FARM TECHNICIAN","RECREATION","$44,795.13"
"MAINTENANCE TECH - BUILDING","OPERATION SERVICES","$44,767.41"
"MAINTENANCE TECH - BUILDING","OPERATION SERVICES","$44,758.50"
"ACCOUNTS PAYABLE REP","ACCOUNTING AND TREASURY","$44,570.86"
"SR WAREHOUSE WORKER","UT STANDARDS ENGINEERING DIV","$44,565.45"
"WAREHOUSE WORKER","UT STANDARDS ENGINEERING DIV","$44,563.40"
"POLICE REPORT SPECIALIST","POLICE INFORMATION SERVICES","$44,503.75"
"PARKS/GROUNDS TECH","PARKS","$44,470.92"
"ADMINISTRATIVE ASSISTANT","COMM DEV & NEIGHBORHOOD SVCS","$44,456.56"
"METER READER","UT STANDARDS ENGINEERING DIV","$44,456.18"
"ELECTRIC LINEWORKER","ELECTRIC FIELD SERVICES","$44,435.01"
"LAB QUALITY ASSURANCE COORD","UT ENVIRONMENTAL SERVICES DIV","$44,269.81"
"PARKING ENFORCEMENT OFFICER","PARKING","$44,231.12"
"EQUIPMENT MAINTENANCE WORKER","OPERATION SERVICES","$44,213.58"
"BLDG & DEV REVIEW TECH-Inactve","COMM DEV & NEIGHBORHOOD SVCS","$44,188.98"
"FIREFIGHTER INTRO - 56 HR/WK","POUDRE FIRE AUTHORITY","$44,179.64"
"UTILITY FEE/RATE SPECIALIST","UTILITY FINANCIAL OPERATIONS","$44,058.89"
"ELECTRIC SYSTEMS OPERATOR","ELECTRIC FIELD SERVICES","$44,019.04"
"FIREFIGHTER INTRO - 56 HR/WK","POUDRE FIRE AUTHORITY","$44,008.00"
"PC HARDWR/SOFTWRE SPECIALIST","INFORMATION TECHNOLOGY","$43,818.56"
"FIREFIGHTER INTRO - 56 HR/WK","POUDRE FIRE AUTHORITY","$43,795.64"
"POLICE SERGEANT","PATROL","$43,724.60"
"PARKS/GROUNDS TECH","PARKS","$43,723.59"
"RECREATION SUPERVISOR","RECREATION","$43,670.06"
"FORESTRY TECHNICIAN-Inactive","PARKS","$43,664.60"
"CUSTOMER SERVICE REP II","UTILITIES CUSTOMER CONNECTIONS","$43,647.52"
"ADMINISTRATIVE SECRETARY II","POUDRE FIRE AUTHORITY","$43,580.26"
"LIBRARY ASSISTANT - TECH SVCS","LIBRARY DISTRICT","$43,519.07"
"POLICE SERGEANT","INVESTIGATIONS","$43,462.05"
"WATER UTIL FIELD OPNS SUPNTNDT","UT DRAINAGE SYSTEM DIV","$43,367.63"
"PLANT OPERATOR","UT WATER PRODUCTION DIV","$43,152.02"
"PUBLICITY MARKETING SPECIALIST","CULTURAL SERVICES","$43,122.23"
"CUSTOMER SERVICE REP II","UTILITIES CUSTOMER CONNECTIONS","$42,982.55"
"ELECTRIC LINEWORKER","ELECTRIC FIELD SERVICES","$42,980.85"
"GALLERY COORDINATOR","CULTURAL SERVICES","$42,975.67"
"PARKING ENFORCEMENT OFFICER","PARKING","$42,935.78"
"STREETS EQUIPMENT OPERATOR I","STREETS","$42,915.34"
"SERVICE SCHEDULE COORD","UT WATER METERS DIV","$42,888.23"
"COMPUTER SUPPORT TECH-LIB","LIBRARY DISTRICT","$42,827.55"
"ASSISTANT CITY MANAGER","SUSTAINABILITY SERVICES ADMIN","$42,539.25"
"LIBRARIAN","LIBRARY DISTRICT","$42,519.24"
"ELECTRIC FIELD SERVICE MANAGER","ELECTRIC FIELD SERVICES","$42,503.93"
"ADMINISTRATIVE ASSISTANT","OFFICE OF THE CHIEF","$42,391.92"
"RECREATION SUPERVISOR","RECREATION","$42,376.20"
"UTILITY CASHIER","UTILITIES CUSTOMER CONNECTIONS","$42,374.97"
"DIRECTOR OF PARKS","PARKS","$42,312.15"
"ADMINISTRATIVE AIDE","PARKS","$42,250.96"
"LIBRARY ASSISTANT - TECH SVCS","LIBRARY DISTRICT","$42,108.28"
"CITY PLANNER","COMM DEV & NEIGHBORHOOD SVCS","$42,093.00"
"ADMINISTRATIVE SUPPORT II","INVESTIGATIONS","$42,092.63"
"FACILITIES MAINTENANCE WORKER","OPERATION SERVICES","$42,019.18"
"CIVIL ENGINEER III","UT WATER UTILITIES ENGINEERING","$42,015.00"
"PUBLICITY MARKETING SPECIALIST","COMM. & PUBLIC INVOLVEMENT","$41,930.12"
"LIBRARY ASSISTANT","LIBRARY DISTRICT","$41,771.81"
"UTILITY BILLING REPRESENTATIVE","UTILITIES CUSTOMER CONNECTIONS","$41,755.43"
"CIRCULATION SUPV - LIBRARY","LIBRARY DISTRICT","$41,641.50"
"CUSTOMER SERVICE REP II","UTILITIES CUSTOMER CONNECTIONS","$41,566.73"
"DOCUMENT IMAGING CLERK","INFORMATION TECHNOLOGY","$41,544.50"
"CUSTOMER SERVICE REP II","COMM DEV & NEIGHBORHOOD SVCS","$41,496.99"
"CUSTOMER SERVICE REP II","UTILITIES CUSTOMER CONNECTIONS","$41,482.71"
"COMPLIANCE INSPECTOR","COMM DEV & NEIGHBORHOOD SVCS","$41,482.59"
"CUSTOMER SERVICE REP II","UTILITIES CUSTOMER CONNECTIONS","$41,466.72"
"ADMINISTRATIVE AIDE","HUMAN RESOURCES","$41,422.98"
"FORESTRY TECHNICIAN-Inactive","PARKS","$41,355.18"
"SYSTEMS SPECIALIST","INFORMATION TECHNOLOGY","$41,350.51"
"CUSTOMER SERVICE REP II","UTILITIES CUSTOMER CONNECTIONS","$41,350.17"
"PARTS ASSISTANT-Inactive","OPERATION SERVICES","$41,342.86"
"HUMAN RESOURCES PARTNER-Inactv","HUMAN RESOURCES","$41,321.00"
"COURT SECURITY OFFICER","MUNICIPAL COURT","$41,227.58"
"CUSTOMER SERVICE REP II","UTILITIES CUSTOMER CONNECTIONS","$41,212.19"
"ADMINISTRATIVE ASSISTANT","SOCIAL SUSTAINABILITY","$41,206.66"
"POLICE REPORT SPECIALIST","POLICE INFORMATION SERVICES","$41,206.27"
"CIVIL ENGINEER I","ENGINEERING","$40,968.80"
"LABORATORY ASSISTANT","UT ENVIRONMENTAL SERVICES DIV","$40,948.50"
"ADMINISTRATIVE AIDE","PURCHASING","$40,900.29"
"WAREHOUSE WORKER","UT STANDARDS ENGINEERING DIV","$40,894.25"
"LIBRARY ASSISTANT","LIBRARY DISTRICT","$40,886.14"
"MUSEUM DIRECTOR","CULTURAL SERVICES","$40,862.51"
"GRANTS DEVELOPMENT SPECIALIST","CITY MANAGER'S OFFICE","$40,768.99"
"RESTORATIVE JUSTICE CASE MGR","COMM DEV & NEIGHBORHOOD SVCS","$40,716.62"
"STREETS EQUIPMENT OPERATOR I","STREETS","$40,681.85"
"BLDG & DEV REVIEW TECH SUPV","COMM DEV & NEIGHBORHOOD SVCS","$40,675.97"
"BUILDING INSPECTOR-Inactive","COMM DEV & NEIGHBORHOOD SVCS","$40,658.43"
"DEPUTY CITY ATTORNEY","CITY ATTORNEY'S OFFICE","$40,646.88"
"CUSTOMER SERVICE REP II","PARKING","$40,575.98"
"CIVIL ENGINEER II","UT WATER UTILITIES ENGINEERING","$40,514.94"
"PARKING ENFORCEMENT OFFICER","PARKING","$40,384.35"
"ADMINISTRATIVE SECRETARY I","POUDRE FIRE AUTHORITY","$40,363.55"
"LIBRARIAN","LIBRARY DISTRICT","$40,334.67"
"PARTS ASSISTANT-Inactive","OPERATION SERVICES","$40,243.43"
"ASSISTANT CITY ATTORNEY II","CITY ATTORNEY'S OFFICE","$40,211.56"
"ADMINISTRATIVE SUPPORT II","TRAFFIC","$39,984.52"
"ADMINISTRATIVE CLERK II","NATURAL AREAS","$39,960.86"
"STREETS EQUIPMENT OPERATOR I","STREETS","$39,885.21"
"DOT COMPLIANCE COORD-Inactive","SAFETY, SECURITY, & RISK MGMT.","$39,764.59"
"PARKS/GROUNDS TECH","PARKS","$39,759.36"
"LEGAL ASSISTANT","CITY ATTORNEY'S OFFICE","$39,706.49"
"POLICE LIEUTENANT","OFFICE OF THE CHIEF","$39,686.14"
"STREETS EQUIPMENT OPERATOR I","STREETS","$39,635.75"
"POLICE DEPUTY CHIEF","INVESTIGATIONS","$39,621.48"
"EMERG SERVICES DISPATCH SUPV","POLICE INFORMATION SERVICES","$39,560.80"
"COMPLIANCE INSPECTOR","COMM DEV & NEIGHBORHOOD SVCS","$39,524.78"
"SUPERVISORY ELECT SYS OPERATOR","ELECTRIC FIELD SERVICES","$39,506.46"
"CUSTOMER SERVICE REP II","UTILITIES CUSTOMER CONNECTIONS","$39,484.95"
"CHEMIST","UT ENVIRONMENTAL SERVICES DIV","$39,400.76"
"WATER UTILITY MAINT OPERATOR","UT COLLECTION SYSTEM DIV","$39,348.13"
"STREETS EQUIPMENT OPERATOR I","STREETS","$39,280.32"
"EXHIBITS TECHNICIAN","CULTURAL SERVICES","$39,262.10"
"PARTS ASSISTANT-Inactive","OPERATION SERVICES","$39,064.66"
"ADMINISTRATIVE SUPPORT II","CITY MANAGER'S OFFICE","$38,892.06"
"CUSTOMER SERVICE REP I","UTILITIES CUSTOMER CONNECTIONS","$38,836.89"
"LIBRARIAN","LIBRARY DISTRICT","$38,815.76"
"CHEMIST","UT ENVIRONMENTAL SERVICES DIV","$38,755.49"
"FORESTRY TECHNICIAN-Inactive","PARKS","$38,744.98"
"MAINTENANCE TECH - BUILDING","OPERATION SERVICES","$38,545.06"
"MUSEUM DIRECTOR - Inactive","CULTURAL SERVICES","$38,492.22"
"FINANCIAL COORDINATOR","NATURAL AREAS","$38,441.87"
"PARKING ATTENDANT","PARKING","$38,359.93"
"PARKING ENFORCEMENT OFFICER","PARKING","$38,260.75"
"ADMINISTRATIVE ASSISTANT","PARKS","$38,225.94"
"UTILITY FACILITY LOCATOR","UT ELECTRIC SYSTEMS ENG DIV","$38,175.42"
"VISUAL ARTS ADMINSTRTR-Inactve","CULTURAL SERVICES","$38,106.46"
"CUSTOMER SERVICE REP II","RECREATION","$38,063.73"
"WATER UTILITY MAINT OPERATOR","UT COLLECTION SYSTEM DIV","$38,039.53"
"FORESTRY TECHNICIAN-Inactive","PARKS","$37,931.66"
"COMM MEDIATION PROG COORD","COMM DEV & NEIGHBORHOOD SVCS","$37,828.51"
"CUSTOMER SERVICE REP I","TRANSFORT / DIAL-A-RIDE","$37,821.60"
"FACILITY ASSISTANT","RECREATION","$37,762.65"
"DEPUTY COURT CLERK II","MUNICIPAL COURT","$37,737.63"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","$37,734.63"
"INDUSTRY CLUSTER COORDINATOR","ECONOMIC HEALTH OFFICE","$37,708.15"
"ADMINISTRATIVE CLERK II","PARKS","$37,670.20"
"ADMINISTRATIVE SUPPORT II","STREETS","$37,477.48"
"PARKS/GROUNDS TECH","PARKS","$37,447.38"
"FACILITIES SCHEDULER","RECREATION","$37,291.56"
"FIRE TECH. AIDE","POUDRE FIRE AUTHORITY","$37,218.13"
"UTILITY GROUNDS TECHNICIAN","ELECTRIC FIELD SERVICES","$37,187.26"
"TRANSPORTATION MAINT WORKER","TRANSFORT / DIAL-A-RIDE","$37,055.29"
"PARKING SERVICES MANAGER","PARKING","$36,954.49"
"BUDGET ANALYST","BUDGET","$36,946.86"
"POLICE REPORT SPECIALIST","POLICE INFORMATION SERVICES","$36,865.84"
"ADMINISTRATIVE CLERK I","INVESTIGATIONS","$36,829.10"
"INFORMATION SERVICES MANAGER","INFORMATION TECHNOLOGY","$36,757.53"
"PARKING ENFORCEMENT OFFICER","PARKING","$36,742.78"
"PARKS/GROUNDS TECH","PARKS","$36,694.49"
"ADMINISTRATIVE CLERK I","CITY CLERK'S OFFICE","$36,689.58"
"SERVICE SCHEDULE COORD","UT WATER METERS DIV","$36,651.25"
"GRAFFITI ABATEMENT OFFICER","UTILITIES CUSTOMER CONNECTIONS","$36,544.46"
"EQUIPMENT MAINTENANCE WORKER","OPERATION SERVICES","$36,470.93"
"LIBRARY ASSISTANT","LIBRARY DISTRICT","$36,398.97"
"SUBSTATION ELEC/COMM SPEC","UT ELEC SYSTEM DESIGN & IT DIV","$36,350.30"
"POLICE SUPPLY TECHNICIAN","PATROL","$36,280.41"
"CIVIL ENGINEER II","ENGINEERING","$35,961.53"
"LIBRARIAN","LIBRARY DISTRICT","$35,909.98"
"PC HARDWR/SOFTWRE SPECIALIST","INFORMATION TECHNOLOGY","$35,757.62"
"ACCOUNTANT-Inactive","ACCOUNTING AND TREASURY","$35,741.53"
"FACILITIES PLANNER/DESIGNER","OPERATION SERVICES","$35,733.86"
"PLANT OPERATOR","UT WTR RECLAMA & BIOSOLIDS DIV","$35,656.45"
"UTILITY BILLING REPRESENTATIVE","UTILITIES CUSTOMER CONNECTIONS","$35,601.24"
"PARKS/GROUNDS TECH","PARKS","$35,555.42"
"COMMUNITY SERVICE OFFICER","PATROL","$35,414.51"
